work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Category
2024,SE,FT,Data Product Manager,227200,US,0,US,M,Above AVG
2024,SE,FT,Data Product Manager,199100,US,0,US,M,Above AVG
2024,MI,FT,Data Scientist,310000,US,0,US,M,Above AVG
2024,MI,FT,Data Scientist,245000,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,140000,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,125000,US,0,US,M,Above AVG
2024,MI,FT,Machine Learning Engineer,223000,US,0,US,M,Above AVG
2024,MI,FT,Machine Learning Engineer,171600,US,0,US,M,Above AVG
2024,SE,FT,Data Analyst,192500,US,100,US,M,Above AVG
2024,SE,FT,Data Analyst,122500,US,100,US,M,Below AVG
2024,SE,FT,Data Analyst,162900,US,100,US,M,Above AVG
2024,SE,FT,Data Analyst,117725,US,100,US,M,Below AVG
2024,EN,FT,Data Analyst,140000,US,0,US,M,Above AVG
2024,EN,FT,Data Analyst,100000,US,0,US,M,Below AVG
2024,MI,FT,Data Engineer,170000,US,100,US,M,Above AVG
2024,MI,FT,Data Engineer,105000,US,100,US,M,Below AVG
2024,SE,FT,Data Scientist,180000,US,0,US,M,Above AVG
2024,SE,FT,Data Scientist,139000,US,0,US,M,Above AVG
2024,SE,FT,Analytics Engineer,234200,US,0,US,M,Above AVG
2024,SE,FT,Analytics Engineer,124000,US,0,US,M,Above AVG
2024,MI,FT,Data Scientist,153700,US,100,US,M,Above AVG
2024,MI,FT,Data Scientist,87300,US,100,US,M,Below AVG
2024,SE,FT,Data Engineer,282000,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,208000,US,0,US,M,Above AVG
2024,SE,FT,Data Scientist,77777,PT,0,PT,M,Below AVG
2024,SE,FT,Data Scientist,66666,PT,0,PT,M,Below AVG
2024,MI,FT,Data Engineer,162000,US,100,US,M,Above AVG
2024,MI,FT,Data Engineer,129000,US,100,US,M,Above AVG
2024,SE,FT,Research Scientist,138000,US,0,US,M,Above AVG
2024,SE,FT,Research Scientist,86000,US,0,US,M,Below AVG
2024,MI,FT,Machine Learning Engineer,100000,IE,100,IE,M,Below AVG
2024,MI,FT,Machine Learning Engineer,94444,IE,100,IE,M,Below AVG
2024,EN,FT,Research Analyst,110000,US,0,US,M,Below AVG
2024,EN,FT,Research Analyst,90000,US,0,US,M,Below AVG
2024,SE,FT,Data Engineer,255800,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,176000,US,0,US,M,Above AVG
2024,EN,FT,Research Analyst,120000,US,100,US,M,Below AVG
2024,EN,FT,Research Analyst,105000,US,100,US,M,Below AVG
2024,SE,FT,Analytics Engineer,130943,GB,0,GB,M,Above AVG
2024,SE,FT,Analytics Engineer,104220,GB,0,GB,M,Below AVG
2024,EN,FT,Data Analyst,50000,GB,100,GB,M,Below AVG
2024,EN,FT,Data Analyst,43750,GB,100,GB,M,Below AVG
2024,MI,FT,Data Engineer,210000,US,0,US,M,Above AVG
2024,MI,FT,Data Engineer,140000,US,0,US,M,Above AVG
2024,MI,FT,Data Engineer,46250,GB,100,GB,M,Below AVG
2024,MI,FT,Data Engineer,30000,GB,100,GB,M,Below AVG
2024,SE,FT,Data Engineer,165000,US,100,US,M,Above AVG
2024,SE,FT,Data Engineer,150000,US,100,US,M,Above AVG
2024,SE,FT,Data Architect,160000,US,0,US,M,Above AVG
2024,SE,FT,Data Architect,130000,US,0,US,M,Above AVG
2024,EN,FT,Data Analyst,156000,US,0,US,M,Above AVG
2024,EN,FT,Data Analyst,124000,US,0,US,M,Above AVG
2024,SE,FT,Analytics Engineer,189000,US,100,US,M,Above AVG
2024,SE,FT,Analytics Engineer,140000,US,100,US,M,Above AVG
2024,SE,FT,Data Analyst,158494,US,100,US,M,Above AVG
2024,SE,FT,Data Analyst,88052,US,100,US,M,Below AVG
2024,SE,FT,Data Engineer,175000,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,140000,US,0,US,M,Above AVG
2024,MI,FT,Data Specialist,111000,US,0,US,M,Below AVG
2024,MI,FT,Data Specialist,79200,US,0,US,M,Below AVG
2024,SE,FT,Data Analyst,220000,US,100,US,M,Above AVG
2024,SE,FT,Data Analyst,170000,US,100,US,M,Above AVG
2024,SE,FT,Data Scientist,195500,US,100,US,M,Above AVG
2024,SE,FT,Data Scientist,141300,US,100,US,M,Above AVG
2024,SE,FT,Data Engineer,139810,US,0,US,M,Above AVG
2024,SE,FT,Data Engineer,95325,US,0,US,M,Below AVG
2023,SE,FT,Data Modeler,258700,US,0,US,M,Above AVG
